ticker,year,annual_return_pct
CVX,2011,19.38
CVX,2012,1.28
CVX,2013,16.88
CVX,2014,-6.41
CVX,2015,-16.47
CVX,2016,38.37
CVX,2017,10.45
CVX,2018,-11.44
CVX,2019,13.29
CVX,2020,-26.51
CVX,2021,45.79
CVX,2022,55.92
CVX,2023,-10.9
CVX,2024,1.07
CVX,2025,8.7
CVX,2026,13.47
DIS,2000,-2.47
DIS,2001,-25.05
DIS,2002,-23.01
DIS,2003,36.45
DIS,2004,18.5
DIS,2005,-13.02
DIS,2006,41.72
DIS,2007,-3.29
DIS,2008,-27.67
DIS,2009,36.38
DIS,2010,18.24
DIS,2011,0.82
DIS,2012,31.96
DIS,2013,51.36
DIS,2014,25.07
DIS,2015,13.46
DIS,2016,2.72
DIS,2017,2.92
DIS,2018,-0.37
DIS,2019,34.35
DIS,2020,22.25
DIS,2021,-12.83
DIS,2022,-44.58
DIS,2023,1.81
DIS,2024,23.87
DIS,2025,3.8
DIS,2026,0.85
GE,2000,-3.05
GE,2001,-6.93
GE,2002,-39.01
GE,2003,24.94
GE,2004,20.13
GE,2005,-1.67
GE,2006,8.35
GE,2007,0.63
GE,2008,-53.55
GE,2009,-6.86
GE,2010,21.72
GE,2011,1.39
GE,2012,18.61
GE,2013,35.6
GE,2014,-4.86
GE,2015,28.6
GE,2016,6.12
GE,2017,-43.08
GE,2018,-56.7
GE,2019,44.76
GE,2020,-9.01
GE,2021,13.14
GE,2022,-12.56
GE,2023,92.97
GE,2024,67.02
GE,2025,83.75
GE,2026,-4.35
GOOGL,2004,92.14
GOOGL,2005,104.66
GOOGL,2006,5.8
GOOGL,2007,47.88
GOOGL,2008,-55.1
GOOGL,2009,92.95
GOOGL,2010,-5.23
GOOGL,2011,6.88
GOOGL,2012,6.31
GOOGL,2013,54.95
GOOGL,2014,-4.75
GOOGL,2015,46.92
GOOGL,2016,4.35
GOOGL,2017,30.37
GOOGL,2018,-2.63
GOOGL,2019,26.99
GOOGL,2020,28.05
GOOGL,2021,67.83
GOOGL,2022,-39.15
GOOGL,2023,56.74
GOOGL,2024,37.5
GOOGL,2025,65.88
GOOGL,2026,7.25
GS,2000,21.71
GS,2001,-7.0
GS,2002,-24.62
GS,2003,43.04
GS,2004,8.25
GS,2005,22.81
GS,2006,55.98
GS,2007,7.85
GS,2008,-59.0
GS,2009,97.02
GS,2010,-1.92
GS,2011,-47.13
GS,2012,35.98
GS,2013,36.41
GS,2014,11.02
GS,2015,-6.07
GS,2016,37.28
GS,2017,6.79
GS,2018,-33.76
GS,2019,36.41
GS,2020,15.25
GS,2021,46.89
GS,2022,-10.85
GS,2023,14.95
GS,2024,51.04
GS,2025,56.0
GS,2026,2.3
HD,2000,-29.67
HD,2001,12.5
HD,2002,-52.04
HD,2003,43.89
HD,2004,23.09
HD,2005,-5.15
HD,2006,-0.85
HD,2007,-32.67
HD,2008,-8.57
HD,2009,24.56
HD,2010,26.09
HD,2011,22.62
HD,2012,49.98
HD,2013,32.41
HD,2014,30.75
HD,2015,30.44
HD,2016,4.47
HD,2017,44.37
HD,2018,-6.56
HD,2019,30.11
HD,2020,23.78
HD,2021,60.53
HD,2022,-20.76
HD,2023,12.75
HD,2024,15.49
HD,2025,-9.21
HD,2026,8.32
INTC,2000,-30.8
INTC,2001,1.51
INTC,2002,-52.65
INTC,2003,92.75
INTC,2004,-26.82
INTC,2005,9.64
INTC,2006,-19.17
INTC,2007,33.57
INTC,2008,-40.59
INTC,2009,38.79
INTC,2010,3.83
INTC,2011,20.43
INTC,2012,-13.05
INTC,2013,26.27
INTC,2014,45.17
INTC,2015,-2.4
INTC,2016,10.23
INTC,2017,29.69
INTC,2018,2.69
INTC,2019,30.3
INTC,2020,-16.08
INTC,2021,6.37
INTC,2022,-48.36
INTC,2023,92.38
INTC,2024,-57.49
INTC,2025,82.49
INTC,2026,18.0
JNJ,2000,15.56
JNJ,2001,17.42
JNJ,2002,-7.25
JNJ,2003,-4.94
JNJ,2004,25.17
JNJ,2005,-2.56
JNJ,2006,9.64
JNJ,2007,3.02
JNJ,2008,-6.61
JNJ,2009,9.76
JNJ,2010,-1.0
JNJ,2011,8.19
JNJ,2012,10.34
JNJ,2013,33.22
JNJ,2014,18.06
JNJ,2015,1.19
JNJ,2016,17.9
JNJ,2017,23.75
JNJ,2018,-4.8
JNJ,2019,17.4
JNJ,2020,10.75
JNJ,2021,12.06
JNJ,2022,5.68
JNJ,2023,-9.37
JNJ,2024,-6.73
JNJ,2025,48.09
JNJ,2026,9.6
JPM,2000,-4.14
JPM,2001,-14.64
JPM,2002,-31.42
JPM,2003,49.34
JPM,2004,9.26
JPM,2005,5.35
JPM,2006,24.08
JPM,2007,-7.09
JPM,2008,-23.19
JPM,2009,33.51
JPM,2010,-0.63
JPM,2011,-22.05
JPM,2012,29.45
JPM,2013,33.7
JPM,2014,9.68
JPM,2015,7.83
JPM,2016,38.7
JPM,2017,25.39
JPM,2018,-7.5
JPM,2019,44.75
JPM,2020,-6.67
JPM,2021,28.96
JPM,2022,-14.45
JPM,2023,29.64
JPM,2024,42.63
JPM,2025,37.1
JPM,2026,-5.59
MCD,2000,-13.63
MCD,2001,-20.32
MCD,2002,-38.45
MCD,2003,52.37
MCD,2004,31.73
MCD,2005,8.15
MCD,2006,35.48
MCD,2007,37.81
MCD,2008,10.1
MCD,2009,1.42
MCD,2010,26.26
MCD,2011,34.94
MCD,2012,-7.89
MCD,2013,11.19
MCD,2014,0.54
MCD,2015,31.04
MCD,2016,6.71
MCD,2017,47.6
MCD,2018,5.11
MCD,2019,14.95
MCD,2020,9.53
MCD,2021,30.44
MCD,2022,0.32
MCD,2023,14.71
MCD,2024,-0.04
MCD,2025,6.92
MCD,2026,3.87
META,2012,-30.37
META,2013,95.18
META,2014,42.61
META,2015,33.41
META,2016,12.55
META,2017,51.0
META,2018,-27.74
META,2019,51.28
META,2020,30.21
META,2021,25.07
META,2022,-64.45
META,2023,183.76
META,2024,69.73
META,2025,10.5
META,2026,10.16
MS,2000,18.59
MS,2001,-21.19
MS,2002,-26.24
MS,2003,40.76
MS,2004,-0.72
MS,2005,3.55
MS,2006,41.99
MS,2007,-20.47
MS,2008,-67.52
MS,2009,77.77
MS,2010,-11.31
MS,2011,-45.93
MS,2012,20.4
MS,2013,61.13
MS,2014,26.41
MS,2015,-16.55
MS,2016,37.5
MS,2017,24.25
MS,2018,-22.35
MS,2019,30.21
MS,2020,35.65
MS,2021,47.08
MS,2022,-12.16
MS,2023,13.0
MS,2024,38.76
MS,2025,46.26
MS,2026,1.05
MSFT,2000,-62.79
MSFT,2001,52.74
MSFT,2002,-22.88
MSFT,2003,2.8
MSFT,2004,8.81
MSFT,2005,-1.01
MSFT,2006,12.86
MSFT,2007,20.84
MSFT,2008,-43.79
MSFT,2009,53.44
MSFT,2010,-7.94
MSFT,2011,-4.75
MSFT,2012,2.6
MSFT,2013,39.54
MSFT,2014,28.42
MSFT,2015,21.88
MSFT,2016,16.51
MSFT,2017,39.74
MSFT,2018,20.22
MSFT,2019,58.26
MSFT,2020,39.94
MSFT,2021,55.79
MSFT,2022,-27.69
MSFT,2023,58.35
MSFT,2024,14.5
MSFT,2025,16.39
MSFT,2026,-9.02
NFLX,2002,-34.27
NFLX,2003,377.64
NFLX,2004,-55.02
NFLX,2005,127.01
NFLX,2006,-0.73
NFLX,2007,0.04
NFLX,2008,13.43
NFLX,2009,84.43
NFLX,2010,228.53
NFLX,2011,-61.16
NFLX,2012,28.17
NFLX,2013,300.14
NFLX,2014,-5.85
NFLX,2015,129.45
NFLX,2016,12.59
NFLX,2017,50.57
NFLX,2018,33.12
NFLX,2019,20.89
NFLX,2020,63.95
NFLX,2021,15.22
NFLX,2022,-50.64
NFLX,2023,65.07
NFLX,2024,90.25
NFLX,2025,5.74
NFLX,2026,-8.24
NKE,2000,16.7
NKE,2001,4.47
NKE,2002,-21.47
NKE,2003,49.33
NKE,2004,34.87
NKE,2005,-3.69
NKE,2006,16.09
NKE,2007,33.12
NKE,2008,-18.13
NKE,2009,26.91
NKE,2010,32.69
NKE,2011,13.59
NKE,2012,8.17
NKE,2013,53.78
NKE,2014,24.39
NKE,2015,32.94
NKE,2016,-16.39
NKE,2017,21.94
NKE,2018,18.09
NKE,2019,38.24
NKE,2020,39.74
NKE,2021,19.86
NKE,2022,-28.18
NKE,2023,-7.39
NKE,2024,-27.76
NKE,2025,-11.49
NKE,2026,-2.32
NVDA,2000,39.99
NVDA,2001,346.93
NVDA,2002,-82.9
NVDA,2003,88.46
NVDA,2004,2.08
NVDA,2005,55.05
NVDA,2006,93.67
NVDA,2007,41.44
NVDA,2008,-75.55
NVDA,2009,114.47
NVDA,2010,-16.71
NVDA,2011,-12.39
NVDA,2012,-12.11
NVDA,2013,28.7
NVDA,2014,28.68
NVDA,2015,66.45
NVDA,2016,232.92
NVDA,2017,90.43
NVDA,2018,-32.85
NVDA,2019,73.41
NVDA,2020,118.02
NVDA,2021,124.48
NVDA,2022,-51.44
NVDA,2023,246.1
NVDA,2024,178.87
NVDA,2025,34.88
NVDA,2026,1.21
PFE,2000,45.58
PFE,2001,-12.71
PFE,2002,-22.25
PFE,2003,14.16
PFE,2004,-22.78
PFE,2005,-9.14
PFE,2006,13.03
PFE,2007,-9.5
